陈生🎡制作,#genre#
CCTV12,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv12
CCTV13,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv13
CCTV14,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv14
CCTV15,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv15
CCTV17,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv17
🇨🇳卫视频道,#genre#
北京💯卫视,http://140.206.78.250/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=
北京💯卫视,http://183.66.13.82:60033/tsfile/live/0122_1.m3u8?key=txiptv
湖南💯卫视,http://183.66.13.82:60033/tsfile/live/0128_1.m3u8?key=txiptv
浙江💯卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://183.66.13.82:60033/tsfile/live/0124_1.m3u8?key=txiptv
江苏💯卫视,http://183.66.13.82:60033/tsfile/live/0127_1.m3u8?key=txiptv
安徽💯卫视,http://183.66.13.82:60033/tsfile/live/0130_1.m3u8?key=txiptv
天津💯卫视,http://183.66.13.82:60033/tsfile/live/0135_1.m3u8?key=txiptv
辽宁💯卫视,http://183.66.13.82:60033/tsfile/live/0121_1.m3u8?key=txiptv
山东💯卫视,http://183.66.13.82:60033/tsfile/live/0131_1.m3u8?key=txiptv
黑龙💯江卫视,http://183.66.13.82:60033/tsfile/live/0143_1.m3u8?key=txiptv
湖北💯卫视,http://183.66.13.82:60033/tsfile/live/0132_1.m3u8?key=txiptv
上海💯卫视,http://183.66.13.82:60033/tsfile/live/0107_1.m3u8?key=txiptv
河北💯卫视,http://183.66.13.82:60033/tsfile/live/0117_1.m3u8?key=txiptv
贵州💯卫视,http://183.66.13.82:60033/tsfile/live/0120_1.m3u8?key=txiptv
东南💯卫视,http://183.66.13.82:60033/tsfile/live/0137_1.m3u8?key=txiptv
青海💯卫视,http://183.66.13.82:60033/tsfile/live/0140_1.m3u8?key=txiptv
西藏💯卫视,http://183.66.13.82:60033/tsfile/live/0111_1.m3u8?key=txiptv
内蒙💯古卫视,http://183.66.13.82:60033/tsfile/live/0109_1.m3u8?key=txiptv
新疆💯卫视,http://183.66.13.82:60033/tsfile/live/0110_1.m3u8?key=txiptv
兵团💯卫视,http://183.66.13.82:60033/tsfile/live/0115_1.m3u8?key=txiptv
甘肃💯卫视,http://183.66.13.82:60033/tsfile/live/0141_1.m3u8?key=txiptv
宁夏💯卫视,http://183.66.13.82:60033/tsfile/live/0112_1.m3u8?key=txiptv
浙江 💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
东方💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
河南💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙💯江卫视,http://gejianhua.7766.org:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
山东💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
安徽💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0  
湖南♨️卫视,http://183.66.15.146:60901/tsfile/live/0128_1.m3u8?key=txiptv
浙江♨️卫视,http://183.66.15.146:60901/tsfile/live/0124_1.m3u8?key=txiptv
江苏♨️卫视,http://183.66.15.146:60901/tsfile/live/0127_1.m3u8?key=txiptv
安徽♨️卫视,http://183.66.15.146:60901/tsfile/live/0130_1.m3u8?key=txiptv
北京♨️卫视,http://183.66.15.146:60901/tsfile/live/0122_1.m3u8?key=txiptv
天津♨️卫视,http://183.66.15.146:60901/tsfile/live/0135_1.m3u8?key=txiptv
辽宁♨️卫视,http://183.66.15.146:60901/tsfile/live/0121_1.m3u8?key=txiptv
山东♨️卫视,http://183.66.15.146:60901/tsfile/live/0131_1.m3u8?key=txiptv
黑龙江♨️卫视,http://183.66.15.146:60901/tsfile/live/0143_1.m3u8?key=txiptv
深圳♨️卫视,http://183.66.15.146:60901/tsfile/live/0126_1.m3u8?key=txiptv
湖北♨️卫视,http://183.66.15.146:60901/tsfile/live/0132_1.m3u8?key=txiptv
上海♨️卫视,http://183.66.15.146:60901/tsfile/live/0107_1.m3u8?key=txiptv
河北♨️卫视,http://183.66.15.146:60901/tsfile/live/0117_1.m3u8?key=txiptv
重庆♨️卫视,http://183.66.15.146:60901/tsfile/live/0018_1.m3u8?key=txiptv
贵州♨️卫视,http://183.66.15.146:60901/tsfile/live/0120_1.m3u8?key=txiptv
东南♨️卫视,http://183.66.15.146:60901/tsfile/live/0137_1.m3u8?key=txiptv
青海♨️卫视,http://183.66.15.146:60901/tsfile/live/0140_1.m3u8?key=txiptv
西藏♨️卫视,http://183.66.15.146:60901/tsfile/live/0111_1.m3u8?key=txiptv
内蒙古♨️卫视,http://183.66.15.146:60901/tsfile/live/0109_1.m3u8?key=txiptv
新疆♨️卫视,http://183.66.15.146:60901/tsfile/live/0110_1.m3u8?key=txiptv
兵团♨️卫视,http://183.66.15.146:60901/tsfile/live/0115_1.m3u8?key=txiptv
甘肃♨️卫视,http://183.66.15.146:60901/tsfile/live/0141_1.m3u8?key=txiptv
宁夏♨️卫视,http://183.66.15.146:60901/tsfile/live/0112_1.m3u8?key=txiptv

🇭🇰香港频道,#genre#
环球🏅新闻,http://zb.xzxwhcb.com:9999/hls/world.m3u8#http://zb.xzxwhcb.com:9999/hls/world.m3u8
凤凰中文频道,http://dns.yiandrive.com:16813/phenix/fhzw
凤凰资讯频道,http://dns.yiandrive.com:16813/phenix/fhzx
凤凰香港频道,http://dns.yiandrive.com:16813/phenix/fhhk
凤凰中文频道,http://kxrj.site:1333/86/fh.php?id=fhzw#http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频道,http://kxrj.site:1333/86/fh.php?id=fhzx#http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港频道,http://kxrj.site:1333/86/fh.php?id=fhhk#http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
香港🏅卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-
香港🏅無線新聞台,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn#http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
TVB🏅翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
香港🏅华丽翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
香港🏅翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct#http://58.250.155.2:8180/TV00000000000000000032@HHZT
香港🏅Hoy78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8
香港🏅无线财经,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8#http://php.jdshipin.com/TVOD/iptv.php?id=j2
香港🏅明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8#http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
香港🏅now新闻台,mitv://135.148.104.228:19806/86a69c6de155405ba916819e2634aa74
凤凰🏅电影台,http://home.js001.com:7777/stream/channelid/884059847?profile=pass
香港🏅星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0#http://wouu.net:9977/udp/239.93.0.156:2193
香港🏅面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
凤凰资讯,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=aa632643a2b1d96faf266ab007bdcfb3291d56987b1b9f0a3445611eaeb1f8
凤凰香港,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=aa632643a2b1d87cb2287cb007bdcfb3291d56987b1b9f0a3445611eaeb1f8
凤凰中文,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=aa632643a2b1d5628628529807bdcfb3291d56987b1b9f0a3445611eaeb1f8
翡翠台,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=a85b23419aa1d4559b91f4400b94e60aa1edf775bd9352c910
明珠台,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=1bb2c040bd8fd6558b2b4bafbd022005bfdb59864db56cfa127b521c
TVB Plus,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=1bb2c0f6497442851b912db97bd4c7435109e05097914b
无线新闻,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=1bb2c040b2a1d660942852af0ba5c40996f2e00ebd14813c9ab69138908272da7c6b1e3faf951a68
HOY国际财经,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=07abdb91135e0185c2685df95a9d37a7462cca528e
HOYTV,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=07abdb91125e0185c2685df95a9d37a7462cca528e
HOY资讯,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=07abdb911d5e0185c2685df95a9d37a7462cca528e
ViuTV,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=198df7f2735e0185c2685df95a9d37a7462cca528e
ViuTV6,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=198df7f273376eea74276286048ad0a4521dd14b8e91
RTHK31,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=1db0caed16306eea74276286048ad0a4521dd14b8e91
RTHK32,https://free.weidu.filegear-sg.me/aef74748/aef74748.php?user=test&channel=1db0caed16336eea74276286048ad0a4521dd14b8e91
🇼🇸台湾四季TV,#genre#
中天新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv009
中天新闻AKtv,http://107.148.130.31:15826/tw/mk592.php?id=39
备用中天新闻,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中天亚洲台,http://litv.zapi.us.kg/?id=4gtv-4gtv109
寰宇新闻台湾台,http://litv.zapi.us.kg/?id=litv-longturn15
TVBS新闻台,http://litv.zapi.us.kg/?id=4gtv-4gtv072
台视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv051
华视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv052
台视财经,http://litv.zapi.us.kg/?id=4gtv-4gtv056
中视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv074
非凡新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv010
镜新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv075
东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152
东森财经新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv153
半岛新闻,http://litv.zapi.us.kg/?id=litv-ftv10
民视,http://litv.zapi.us.kg/?id=4gtv-4gtv002      
TVBS HD,http://litv.zapi.us.kg/?id=4gtv-4gtv073
民视新闻台,http://litv.zapi.us.kg/?id=litv-ftv13
民视台湾台,http://litv.zapi.us.kg/?id=4gtv-4gtv001
寰宇新闻台,http://litv.zapi.us.kg/?id=litv-longturn14
台视,http://litv.zapi.us.kg/?id=4gtv-4gtv066
民视,http://litv.zapi.us.kg/?id=4gtv-4gtv002
民视,http://litv.zapi.us.kg/?id=4gtv-4gtv155
中视,http://litv.zapi.us.kg/?id=4gtv-4gtv040
华视,http://litv.zapi.us.kg/?id=4gtv-4gtv041
民视台湾台,http://litv.zapi.us.kg/?id=4gtv-4gtv156
影迷數位電影台,http://litv.zapi.us.kg/?id=4gtv-4gtv011
AMC电影台,http://litv.zapi.us.kg/?id=4gtv-4gtv017
CATCHPLAY电影台,http://litv.zapi.us.kg/?id=4gtv-4gtv076
靖天电影台,http://litv.zapi.us.kg/?id=4gtv-4gtv061
龙华电影,http://litv.zapi.us.kg/?id=litv-longturn03
采昌影剧,http://litv.zapi.us.kg/?id=4gtv-4gtv049
民视影剧,http://litv.zapi.us.kg/?id=litv-ftv09
龙华经典,http://litv.zapi.us.kg/?id=litv-longturn21
中视经典,http://litv.zapi.us.kg/?id=4gtv-4gtv080
台湾戏剧台,http://litv.zapi.us.kg/?id=litv-longturn22
靖洋戏剧台,http://litv.zapi.us.kg/?id=4gtv-4gtv045
靖天戏剧台,http://litv.zapi.us.kg/?id=4gtv-4gtv058
公视戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv042
龙华戏剧,http://litv.zapi.us.kg/?id=litv-longturn18
TRACE SPORTS STARS,http://litv.zapi.us.kg/?id=4gtv-4gtv077
視納華仁紀實頻道,http://litv.zapi.us.kg/?id=4gtv-4gtv013
中视菁采,http://litv.zapi.us.kg/?id=4gtv-4gtv064
八大精彩台,http://litv.zapi.us.kg/?id=4gtv-4gtv034
八大综艺台,http://litv.zapi.us.kg/?id=4gtv-4gtv039
TVBS精采台,http://litv.zapi.us.kg/?id=4gtv-4gtv067
TVBS欢乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv068
靖天欢乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天综合台,http://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天资讯台,http://litv.zapi.us.kg/?id=4gtv-4gtv065
靖天卡通台,http://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天日本台,http://litv.zapi.us.kg/?id=4gtv-4gtv047
靖洋卡通台,http://litv.zapi.us.kg/?id=4gtv-4gtv057
靖天国际台,http://litv.zapi.us.kg/?id=4gtv-4gtv063
靖天映画,http://litv.zapi.us.kg/?id=4gtv-4gtv055
爱尔达娱乐,http://litv.zapi.us.kg/?id=4gtv-4gtv070
龙华卡通,http://litv.zapi.us.kg/?id=litv-longturn01
龙华日韩,http://litv.zapi.us.kg/?id=litv-longturn11
龙华偶像,http://litv.zapi.us.kg/?id=litv-longturn12
民视综艺,http://litv.zapi.us.kg/?id=4gtv-4gtv004
民视第一台,http://litv.zapi.us.kg/?id=4gtv-4gtv003
民视旅游,http://litv.zapi.us.kg/?id=litv-ftv07
亚洲旅游台,http://litv.zapi.us.kg/?id=litv-longturn17
客家电视台,http://litv.zapi.us.kg/?id=4gtv-4gtv043
爱放动漫,http://litv.zapi.us.kg/?id=litv-ftv15
古典音乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv059
猪哥亮歌厅秀,http://litv.zapi.us.kg/?id=4gtv-4gtv006
Smart知识台,http://litv.zapi.us.kg/?id=litv-longturn19
达文西频道,http://litv.zapi.us.kg/?id=4gtv-4gtv018
阿里郎,http://litv.zapi.us.kg/?id=4gtv-4gtv079
生活英语台,http://litv.zapi.us.kg/?id=litv-longturn20
国际财经,http://litv.zapi.us.kg/?id=4gtv-4gtv104
美国之音,http://litv.zapi.us.kg/?id=litv-ftv03
好消息,http://litv.zapi.us.kg/?id=litv-ftv16
好消息2台,http://litv.zapi.us.kg/?id=litv-ftv17
非凡商业,http://litv.zapi.us.kg/?id=4gtv-4gtv048
国会频道1,http://litv.zapi.us.kg/?id=4gtv-4gtv084
国会频道2,http://litv.zapi.us.kg/?id=4gtv-4gtv085
TRACE URBAN,http://litv.zapi.us.kg/?id=4gtv-4gtv082
MEZZO LIVE,http://litv.zapi.us.kg/?id=4gtv-4gtv083
GLOBETROTTER,http://litv.zapi.us.kg/?id=4gtv-4gtv016
GinxTV,http://litv.zapi.us.kg/?id=4gtv-4gtv053
📹明星电影,#genre#

电影_英叔,http://189.1.239.118:35455/huya/11342421
电影_发哥,http://189.1.239.118:35455/huya/11342387
电影_成龙,http://189.1.239.118:35455/huya/11342386
电影_星爷,http://189.1.239.118:35455/huya/11342412
电影_王晶,http://189.1.239.118:35455/huya/11602058
电影_沈腾,http://189.1.239.118:35455/huya/11601968
电影_黄渤,http://189.1.239.118:35455/huya/11352876
电影_强森,http://189.1.239.118:35455/huya/21059581
电影_漫威,http://189.1.239.118:35455/huya/11602034
电影_宇宙,http://189.1.239.118:35455/huya/11342428
电影_怪兽,http://189.1.239.118:35455/huya/21059577
电影_武侠,http://189.1.239.118:35455/huya/11342427
电影_警匪,http://189.1.239.118:35455/huya/11352886
电影_罪犯,http://189.1.239.118:35455/huya/11352962
电影_枪战,http://189.1.239.118:35455/huya/21059579
电影_海盗,http://189.1.239.118:35455/huya/21059595
电影_赛车,http://189.1.239.118:35455/huya/11279247
电影_推荐,http://189.1.239.118:35455/huya/11602041
电影_救援,http://189.1.239.118:35455/huya/21059594
电影_热血,http://189.1.239.118:35455/huya/11352934
电影_盗墓,http://189.1.239.118:35455/huya/21059552
电影_贺岁,http://189.1.239.118:35455/huya/11601971
电影_玄幻,http://189.1.239.118:35455/huya/11342414
电影_谍战,http://189.1.239.118:35455/huya/21059585
电影_战争,http://189.1.239.118:35455/huya/21059592
电影_喜剧,http://189.1.239.118:35455/huya/11352877
电影_港片,http://189.1.239.118:35455/huya/11602043
电影_国产,http://189.1.239.118:35455/huya/11352973
电影_周星星,http://189.1.239.118:35455/huya/11336587
电影_李连杰,http://189.1.239.118:35455/huya/11342390
电影_洪金宝,http://189.1.239.118:35455/huya/11279251
电影_梁家辉,http://189.1.239.118:35455/huya/11342429
电影_刘德华,http://189.1.239.118:35455/huya/11342424
电影_斯坦森,http://189.1.239.118:35455/huya/21059588
电影_小鬼头,http://189.1.239.118:35455/huya/11352963
电影_八点档,http://189.1.239.118:35455/huya/880261
电影_蜘蛛侠,http://189.1.239.118:35455/huya/21059599
电影_贺岁片,http://189.1.239.118:35455/huya/11601986
电影_功夫片,http://189.1.239.118:35455/huya/11352941
电影_黑帮片,http://189.1.239.118:35455/huya/11336719
电影_丧尸片,http://189.1.239.118:35455/huya/21059578
电影_灾难片,http://189.1.239.118:35455/huya/11602075
电影_谍战片,http://189.1.239.118:35455/huya/21059587
电影_战争片,http://189.1.239.118:35455/huya/21059574
电影_犯罪片,http://189.1.239.118:35455/huya/11352974
电影_古装片,http://189.1.239.118:35455/huya/11336590
电影_高分动作,http://189.1.239.118:35455/huya/11352884
电影_动作电影,http://189.1.239.118:35455/huya/11602077
电影_搞笑喜剧,http://189.1.239.118:35455/huya/11342423
电影_喜剧专场,http://189.1.239.118:35455/huya/11602044
电影_欢笑影院,http://189.1.239.118:35455/huya/11352894
电影_不挤影院,http://189.1.239.118:35455/huya/11352897
电影_国产悬疑,http://189.1.239.118:35455/huya/11342395
电影_快意江湖,http://189.1.239.118:35455/huya/11342435
电影_黑帮斗争,http://189.1.239.118:35455/huya/11342419
电影_嫣然影厅,http://189.1.239.118:35455/huya/11601977
电影_许氏三杰,http://189.1.239.118:35455/huya/11602033
电影_经典港片,http://189.1.239.118:35455/huya/11352965
电影_镖行天下,http://189.1.239.118:35455/huya/11352969
电影_高能反转,http://189.1.239.118:35455/huya/11352887
电影_喜乐影院,http://189.1.239.118:35455/huya/21059580
电影_蘑菇影厅,http://189.1.239.118:35455/huya/11601981
电影_搞笑恐怖,http://189.1.239.118:35455/huya/11601960
电影_死神来了,http://189.1.239.118:35455/huya/11352903
电影_变形金刚,http://189.1.239.118:35455/huya/21059596
电影_怪兽系列,http://189.1.239.118:35455/huya/21059554
剧集_老三国,http://189.1.239.118:35455/huya/11602081
剧集_新三国,http://189.1.239.118:35455/huya/11352944
剧集_新水浒,http://189.1.239.118:35455/huya/11342384
剧集_纪晓岚,http://189.1.239.118:35455/huya/11342396
剧集_庆余年,http://189.1.239.118:35455/huya/11352960
剧集_雍正王朝,http://189.1.239.118:35455/huya/11342439
剧集_士兵突击,http://189.1.239.118:35455/huya/11342430
剧集_爱情公寓,http://189.1.239.118:35455/huya/11336726
剧集_武林外传,http://189.1.239.118:35455/huya/21059598
剧集_地下交通站,http://189.1.239.118:35455/huya/11342433
剧集_邻里一家亲,http://189.1.239.118:35455/huya/11342426
搞笑_陈翔六点半,http://189.1.239.118:35455/huya/11274154
许氏三杰,http://189.1.239.118:35455/huya/11602033
许冠英,http://189.1.239.118:35455/huya/11601972
五福星,http://189.1.239.118:35455/huya/11282233
周星驰,http://189.1.239.118:35455/huya/11342412
成龙,http://189.1.239.118:35455/huya/11342386
成龙2,http://jxiptv.xn--9kqp7k2rd.com/svip/YY_.php?t=1354888751
周润发,http://189.1.239.118:35455/huya/11342387
李连杰,http://189.1.239.118:35455/huya/11342390
邱淑贞,http://189.1.239.118:35455/huya/11352949
刘德华,http://189.1.239.118:35455/huya/11342424
林正英,http://189.1.239.118:35455/huya/11342421
徐峥,http://189.1.239.118:35455/huya/11602043
沈腾,http://189.1.239.118:35455/huya/11601968
古天乐,http://189.1.239.118:35455/huya/11602041
洪金宝,http://189.1.239.118:35455/huya/11279251
徐克,http://189.1.239.118:35455/huya/11352909
黄渤,http://189.1.239.118:35455/huya/11352876
斗罗大陆,http://189.1.239.118:35455/huya/11352906
小马的直播间,http://189.1.239.118:35455/huya/23749096
孙悟空,http://189.1.239.118:35455/huya/23735126
张卫健版西游记,http://189.1.239.118:35455/huya/23728660
楚汉骄雄,http://189.1.239.118:35455/huya/23740156
鹿鼎记小春版,http://189.1.239.118:35455/huya/23865080
天龙八部97版,http://189.1.239.118:35455/huya/23903123
刑事侦缉档案,http://189.1.239.118:35455/huya/23734169
寻秦记,http://189.1.239.118:35455/huya/23864973
法证先锋,http://189.1.239.118:35455/huya/23863804
陀枪师姐,http://189.1.239.118:35455/huya/23860039
笑傲江湖,http://189.1.239.118:35455/huya/23865142
洗冤录,http://189.1.239.118:35455/huya/23903130
倚天屠龙记,http://189.1.239.118:35455/huya/23734246
神雕侠侣,http://189.1.239.118:35455/huya/23865171
鉴证实录,http://189.1.239.118:35455/huya/23903183
创世纪,http://189.1.239.118:35455/huya/23749083
使徒行者,http://189.1.239.118:35455/huya/23734256
金枝欲孽,http://189.1.239.118:35455/huya/23865036
大唐双龙传,http://189.1.239.118:35455/huya/23728674
妙手仁心,http://189.1.239.118:35455/huya/23829543
扫黄先锋,http://189.1.239.118:35455/huya/23903196
笑看风云,http://189.1.239.118:35455/huya/23865058
大时代,http://189.1.239.118:35455/huya/23865161
